word,list_count
abandon,1
abase,6
abash,4
abate,8
abbess,1
abbey,1
abbot,1
abbreviate,3
abdicate,5
abdomen,1
abdominal,1
abduction,1
abed,1
aberrant,11
aberration,5
abet,6
abeyance,9
abhor,5
abhorrence,1
abhorrent,1
abidance,1
abide,3
abiding,1
abject,6
abjure,11
able-bodied,1
ablution,3
abnegate,3
abnegation,2
abnormal,1
abode,2
abolish,2
abominable,3
abominate,4
abomination,1
aboriginal,3
aborigines,1
abortive,2
abound,2
aboveboard,3
abrade,3
abrasion,1
abrasive,3
abreast,2
abridge,5
abridgment,1
abrogate,7
abrupt,1
abscess,1
abscission,5
abscond,9
absence,1
absent-minded,1
absolute,3
absolution,1
absolve,4
absorb,1
absorption,1
abstain,10
abstemioius,1
abstemious,6
abstinence,3
abstract,4
abstruse,8
absurd,2
abundant,2
abuse,1
abusive,3
abut,5
abysmal,7
abyss,4
academic,3
academician,1
academy,1
accede,6
accelerate,4
accentuate,2
accept,1
access,2
accessible,5
accession,1
accessory,4
accidental,1
acclaim,4
acclimate,3
acclivity,2
accolade,5
accommodate,4
accompaniment,1
accompanist,1
accompany,1
accomplice,3
accomplish,1
accord,3
accordion,1
accost,4
account,1
accouter,1
accoutre,2
accredit,1
accrete,1
accretion,4
accrue,2
accumulate,2
accuracy,1
accurate,1
accursed,1
accusation,1
accusatory,1
accuse,1
accustom,1
acephalous,1
acerbic,5
acerbity,3
acetate,1
acetic,3
ache,1
achillean,1
achromatic,1
acid,1
acidify,1
acidulous,4
acknowledge,3
acknowledgment,1
acme,9
acne,2
acolyte,1
acoustic,1
acoustics,2
acquaint,1
acquiesce,7
acquiescence,2
acquiescent,1
acquire,1
acquisition,2
acquisitive,1
acquit,1
acquittal,3
acquittance,1
acre,1
acreage,1
acrid,5
acrimonious,5
acrimony,3
acrophobia,2
actionable,1
activism,1
actuality,1
actuarial,2
actuary,3
actuate,4
acuity,2
acumen,8
acute,4
ad-lib,1
adage,3
adamant,6
adapt,3
addendum,4
addict,1
addiction,2
addle,3
address,2
adduce,2
adept,3
adequate,1
adhere,5
adherence,1
adherent,4
adhesion,1
adieu,1
adipose,1
adjacency,1
adjacent,3
adjoin,2
adjourn,3
adjudge,1
adjudicate,2
adjunct,4
adjuration,3
adjure,2
adjutant,3
administrator,1
admissible,1
admittance,1
admonish,12
admonition,2
admonitory,2
ado,1
adoration,1
adore,3
adorn,2
adroit,5
adulate,1
adulation,3
adulterant,1
adulterate,10
adulterated,1
adumbrate,3
adumbration,1
advent,3
adventitious,4
adversary,3
adverse,6
adversity,4
advert,5
advertise,1
advertiser,1
advisory,1
advocacy,3
advocate,11
aegis,2
aeon,1
aerial,1
aerie,4
aeronaut,1
aerostat,1
aerostatics,1
aery,1
aesthete,2
aesthetic,11
affable,10
affect,1
affectation,5
affected,3
affection,1
afferent,1
affidavit,3
affiliate,1
affiliation,2
affinity,4
affirmation,2
affirmative,1
affix,1
afflatus,1
afflict,1
affliction,2
affluence,3
affluent,3
afford,2
affray,1
affront,4
afoot,1
aforesaid,1
afresh,1
afterlife,2
afterthought,1
agape,2
agenda,3
agglomerate,1
agglomeration,2
aggrandize,8
aggravate,3
aggravation,1
aggregate,7
aggress,1
aggression,1
aggressive,1
aggrieve,3
aghast,5
agile,1
agility,2
agitate,5
agitation,1
agnostic,2
agog,3
agonize,1
agrarian,4
agronomist,1
aide,1
aide-de-camp,1
ailment,1
airtight,1
airy,3
akin,1
alabaster,1
alacrity,12
albeit,2
albino,2
albite,1
album,1
alchemy,6
alcohol,1
alcoholism,1
alcove,4
alder,1
alderman,1
aldermanship,1
alias,3
alibi,1
alien,1
alienable,1
alienate,6
alienation,1
align,1
aliment,1
alimentary,2
alimony,2
alkali,1
allay,5
allege,5
allegiance,3
allegory,3
alleviate,8
alley,1
alliance,1
alliterate,1
alliteration,2
allocate,2
allot,1
allotment,1
alloy,2
allude,4
allure,3
allusion,3
allusive,1
alluvial,2
alluvion,1
ally,2
almanac,1
alms,2
aloft,3
aloof,6
alphabetical,1
altar,1
alter,1
alteration,1
altercate,1
altercation,2
alternate,1
alternative,1
altitude,1
alto,1
altruism,5
altruist,1
altruistic,3
amalgam,5
amalgamate,10
amalgamation,1
amass,2
amateur,1
amatory,1
amazon,2
ambidextrous,3
ambience,3
ambiguous,10
ambitious,1
ambivalence,3
ambivalent,5
amble,3
ambrosia,3
ambrosial,2
ambulance,1
ambulatory,2
ambush,3
ameliorate,11
amenable,12
amend,3
amenities,2
amenity,1
americanism,1
amiable,7
amicable,6
amiss,2
amity,4
amnesia,2
amnesty,2
amok,2
amoral,1
amorally,1
amorous,4
amorphous,9
amortization,1
amortize,3
amour,1
ampere,1
ampersand,1
amphibian,2
amphibious,1
amphitheater,3
ample,2
amplify,2
amplitude,1
amply,3
amputate,3
amuck,3
amulet,4
amusement,1
anachronism,8
anachronistic,3
anagram,1
analgesia,3
analgesic,4
analogous,9
analogy,3
analyst,1
analyze,1
anarchist,3
anarchy,6
anathema,6
anatomy,1
ancestry,3
anchor,2
ancillary,4
andiron,1
androgynous,1
anecdote,4
anemia,3
anemic,4
anemometer,1
anesthetic,5
anew,1
angelic,1
anglo-saxon,1
anglophobia,1
anguish,2
angular,3
anhydrous,1
animadversion,3
animadvert,1
animalcule,1
animate,2
animated,2
animosity,7
animus,5
annalist,1
annals,4
anneal,2
annex,3
annihilate,3
annotate,3
annoy,1
annual,1
annuity,3
annul,4
annunciation,1
anode,1
anodyne,7
anoint,5
anointment,1
anomalous,9
anomaly,7
anonymity,2
anonymous,3
antagonism,3
antagonize,3
antarctic,1
ante,1
antecede,3
antecedent,3
antecedents,1
antechamber,1
antedate,4
antedated,1
antediluvian,4
antemeridian,1
antemundane,1
antenatal,1
anterior,2
anteroom,1
anthem,2
anthology,5
anthracite,1
anthropocentrism,1
anthropoid,2
anthropologist,2
anthropology,1
anthropomorphic,3
anthropomorphous,1
antic,4
antichrist,1
anticlimax,3
anticyclone,1
antidote,4
antilogy,1
antipathize,1
antipathy,10
antiphon,1
antiphony,1
antipodes,1
antiquary,1
antiquate,1
antiquated,4
antique,3
antiquity,2
antiseptic,3
antislavery,1
antispasmodic,1
antistrophe,1
antithesis,4
antithetical,4
antitoxin,1
antler,2
antonym,1
anvil,2
anxious,1
apathetic,3
apathy,11
ape,2
aperture,3
apex,5
aphasia,2
aphorism,7
aphoristic,2
apiarist,2
apiary,3
apiculture,2
aplomb,4
apocalyptic,3
apocryphal,8
apogee,6
apolitical,2
apologist,4
apologue,1
apology,1
apophasis,1
apophthegm,1
apoplectic,1
apoplexy,2
apostasy,2
apostate,8
apostle,2
apostrophe,1
apothecary,4
apothegm,3
apothegm(apophthegm),1
apotheosis,6
appall,4
apparel,1
apparent,4
apparition,3
appeal,2
appealing,1
appease,9
appellate,1
appellation,4
append,4
appertain,1
applause,1
application,2
appoint,1
apposite,6
apposition,1
appraise,3
appreciable,4
appreciate,2
apprehend,3
apprehensible,1
apprehension,4
apprehensive,2
apprise,7
approach,1
approbation,9
approbatory,2
appropriate,8
appurtenance,2
appurtenances,1
appurtenant,2
apron,1
apropos,5
apt,3
aptitude,2
aquatic,1
aqueduct,1
aqueous,1
aquiline,3
arable,2
arbiter,4
arbitrary,9
arbitrate,4
arbor,2
arboreal,4
arborescent,1
arboretum,3
arboriculture,1
arcade,2
arcane,8
arch,4
archaeology,3
archaic,10
archaism,1
archangel,1
archbishop,1
archdeacon,1
archetype,7
archipelago,4
archive,1
archives,2
ardent,4
ardor,6
arduous,10
argot,3
aria,3
arid,3
aristocracy,2
aristocrat,1
armada,4
armful,1
armory,1
aroma,1
aromatic,2
arraign,3
arrange,1
arrangement,1
arrant,4
array,2
arrear,1
arrears,2
arrest,2
arresting,2
arrhythmic,3
arrival,1
arriviste,2
arrogance,3
arrogant,1
arrogate,7
arroyo,2
arsenal,2
artery,2
artful,5
arthurian,1
articulate,7
artifact,2
artifacts,2
artifice,5
artisan,2
artless,9
artlessness,2
ascendancy,5
ascendant,2
ascension,1
ascent,1
ascertain,6
ascetic,11
asceticism,1
ascribe,7
aseptic,3
asexual,1
ashen,3
asinine,2
askance,6
askew,3
aspect,1
asperity,8
aspersion,5
aspersions,1
aspirant,4
aspiration,2
aspire,3
assail,8
assailant,1
assassin,1
assassinate,1
assassination,1
assay,4
assent,5
assert,4
assertive,2
assess,2
assessor,1
asseverate,1
assiduous,8
assiduously,2
assignee,1
assimilate,4
assonance,1
assonant,1
assonate,1
assuage,11
assumption,2
assurance,2
asteroid,2
astigmatism,2
astonishment,1
astounding,1
astral,2
astringent,6
astrology,1
astronomical,2
astute,6
asunder,4
asylum,3
asymmetric,2
asymmetrical,1
atavism,5
atelier,1
atheism,1
atheistic,2
athirst,1
athwart,2
atomizer,1
atone,4
atonement,1
atrocious,2
atrocity,3
atrophy,2
attache,1
attentive,2
attenuate,9
attest,3
attire,2
attitude,1
attorney-general,1
attribute,3
attrition,2
attuned,1
atypical,2
auburn,1
audacious,13
audacity,3
audible,1
audit,2
audition,2
auditory,1
augment,9
augur,2
augury,5
august,6
aural,1
aureole,2
auricle,1
auricular,1
auriferous,1
aurora,1
auroral,2
auscultation,1
auspice,1
auspices,1
auspicious,6
austere,12
austerity,1
autarchy,1
authentic,2
authenticate,2
authenticity,1
authoritarian,3
authoritative,2
authority,1
autobiography,1
autocracy,2
autocrat,2
autocratic,4
automate,1
automaton,3
autonomous,4
autonomously,2
autonomy,3
autopsy,3
autumnal,1
auxiliary,4
avalanche,3
avant-garde,1
avantgarde,1
avarice,10
avaricious,4
avatar,1
avenge,2
aver,9
averse,3
aversion,7
avert,5
aviary,3
avid,7
avidity,1
avocation,4
avouch,1
avow,4
avulse,1
avuncular,3
awaken,1
awash,1
awe,3
awful,2
awkward,1
awl,3
awning,1
awry,3
axiom,5
axiomatic,2
aye,1
azalea,1
azure,3
babble,3
bacchanal,2
bacchanalia,2
bacchanalian,2
backhanded,1
backslide,2
backwards,1
baconian,1
bacteria,1
bacterium,1
badge,1
badger,6
badinage,4
baffle,3
bailiff,1
bait,3
baize,1
bale,2
baleful,7
balk,6
balky,1
ballad,2
ballast,3
ballet,1
balloon,2
balm,3
balmy,2
balsam,1
banal,12
banality,2
bandanna,1
bandy,3
bane,5
baneful,1
banish,4
banister,1
bank,2
banter,2
bantering,2
bar,2
barb,3
barbarous,1
barcarole,1
bard,2
barefaced,3
bargain,3
baritone,1
barograph,1
barometer,1
baroque,4
barrage,4
barren,2
barricade,1
barring,1
barrister,2
barter,1
barterer,2
base,6
baseboard,1
bask,3
bass,1
bassoon,1
bastard,2
bastardization,2
baste,1
bastion,2
batch,1
bate,3
bathetic,1
baton,1
battalion,3
batten,2
batter,1
bauble,4
bawdy,4
bawl,1
baying,1
bearing,2
beatific,5
beatify,1
beatitude,3
beau,1
becalm,1
beck,1
becoming,2
bedaub,1
bedeck,2
bedizen,2
bedlam,2
bedraggle,2
beeline,2
befog,1
befriend,1
befuddle,2
befuddled,1
beg,2
beget,3
begrudge,5
beguile,4
behemoth,2
beholden,2
behoove,2
behoove(behove),1
behooves,1
behove,1
belabor,4
belate,1
belated,2
belay,1
beleaguer,5
belfry,1
belie,12
believe,1
belittle,5
belle,1
bellicose,6
belligerent,7
bellwether,1
bemoan,4
bemuse,1
bemused,3
benediction,3
benefactor,3
benefice,1
beneficent,7
beneficial,3
beneficiary,3
benefit,3
benevolence,1
benevolent,5
benighted,4
benign,10
benignant,1
benignity,2
benison,3
bent,5
bequeath,4
berate,4
bereave,2
bereaved,2
bereavement,2
bereft,5
berserk,2
berth,1
beseech,5
beset,3
besiege,6
besmear,1
besmirch,5
besotted,2
bestial,3
bestow,3
bestrew,1
bestride,1
bete noire,1
bethink,1
betide,1
betimes,1
betoken,3
betray,6
betroth,3
betrothal,1
betrothed,1
bevel,1
bevy,4
beware,2
bewilder,1
bewitch,2
biased,1
bibliography,2
bibliomania,1
bibliophile,1
bibulous,1
bicameral,2
bicker,2
bid,2
bide,1
biennial,3
bier,1
bifurcate,3
bifurcated,2
bigamist,1
bigamy,1
bight,1
bigot,3
bigotry,2
bilateral,1
bilingual,1
bilious,5
bilk,4
billingsgate,1
billow,2
billowing,2
bimester,1
biograph,1
biography,1
biology,1
biped,1
birthright,1
bisque,1
biting,2
bitter,2
bitterness,1
bivouac,2
bizarre,2
blackball,2
blanch,3
bland,4
blandishment,3
blare,2
blase,3
blaspheme,1
blasphemous,1
blasphemy,2
blast,1
blasé,1
blatant,7
blaze,1
blazon,3
bleak,5
blemish,4
blight,5
blighted,3
blinkered,2
bliss,3
blithe,7
blithesome,2
bloat,1
bloated,1
blockade,1
blotch,2
blowhard,2
bludgeon,2
blue,2
blueprint,1
blues,2
bluff,2
blunder,3
blunt,3
blur,1
blurb,1
blurt,3
blush,2
bluster,4
boast,1
boatswain,1
bode,2
bodice,1
bodily,1
bodyguard,1
bog,2
boggle,1
bogus,4
bohemian,2
boisterous,6
bole,1
bolero,1
boll,1
bolster,11
bolt,3
bomb,1
bombard,1
bombardier,1
bombardment,2
bombast,6
bombastic,6
bonhomie,3
boo,1
bookish,2
